system:index	BCI_max	BCI_mean	BCI_min	BCI_stdDev	BLFEI_max	BLFEI_mean	BLFEI_min	BLFEI_stdDev	BSI_max	BSI_mean	BSI_min	BSI_stdDev	Blue_p10	Blue_p25	Blue_p50	Blue_p75	Blue_p90	Brightness_max	Brightness_mean	Brightness_min	Brightness_stdDev	Green_p10	Green_p25	Green_p50	Green_p75	Green_p90	HAND	MNDWI_max	MNDWI_mean	MNDWI_min	MNDWI_stdDev	Map	NBR_max	NBR_mean	NBR_min	NBR_stdDev	NDBI_max	NDBI_mean	NDBI_min	NDBI_stdDev	NDSI_max	NDSI_mean	NDSI_min	NDSI_stdDev	NDVI_max	NDVI_mean	NDVI_min	NDVI_stdDev	NDWI_max	NDWI_mean	NDWI_min	NDWI_stdDev	NIR_contrast	NIR_corr	NIR_diss	NIR_ent	NIR_idm	NIR_p10	NIR_p25	NIR_p50	NIR_p75	NIR_p90	NIR_var	Red_p10	Red_p25	Red_p50	Red_p75	Red_p90	SWIR1_p10	SWIR1_p25	SWIR1_p50	SWIR1_p75	SWIR1_p90	SWIR2_p10	SWIR2_p25	SWIR2_p50	SWIR2_p75	SWIR2_p90	TPI	TWI	aspect	elevation	slope	.geo
740_0	0.2470318	0.21077198	0.1283714	0.027570189	0.47257662	0.4418807	0.38613245	0.022641311	0.06855824	-0.08356717	-0.1828265	0.084215595	8058	8181	8289	8481.5	8745	14076.833333333334	11976.5	9752.333333333334	930.1893027168533	9116	9288	9604	9978	10272	106.69995	-0.14662273	-0.18743308	-0.23937523	0.022473161194196282	2	0.4252752	0.26407036	-0.05196202	0.14815797220208243	0.08115743	-0.1456776	-0.27896824	0.11751138804532249	-0.14662273	-0.18743308	-0.23937523	0.022473161194196282	0.48286334	0.3418235	0.06650531	0.12825824593599006	-0.0850016	-0.32257745	-0.42785528	0.10226675138404545	0	1	0	0	1	12035	15874	20375.5	23750	25635	0	8757	8811.5	8915	9654.5	9906	13297	13511	14198	14673	15354	10132	10322.5	10673	11480.5	12178	-6.52173913	-2.74327571	0	2237	7	{"type":"MultiPoint","coordinates":[]}
741_0	0.23171324	0.19297057	0.13887478	0.027176097874013483	0.45963734	0.42289364	0.38408265	0.022476529	0.072761886	-0.019047055	-0.11665269	0.056852164326621386	8257	8305	8463	8723	8812	13747.166666666666	11981.904761904761	10751.166666666666	629.0483323416138	9334	9552	9717.5	9845	10197	3.9000244	-0.16996652	-0.19881512	-0.22451562	0.016533730681058536	2	0.3146195	0.17144378	-0.037980948	0.097575446	0.06952256	-0.07050159	-0.18429515	0.07329584	-0.16996652	-0.19881512	-0.22451562	0.016533730681058536	0.3989709	0.25822794	0.09213483	0.090364153	-0.1371746	-0.264857	-0.35893995	0.064169961	0	1	0	0	1	13310	16002	17268.5	18504	20255	0	9121	9169	9905	10627	11011	13725	14075	14535.5	15034	15974	10831	11204	11989	12585	12762	0.10144927536225623	-1.988191359	135	1866	3	{"type":"MultiPoint","coordinates":[]}
742_0	0.24986121	0.21114357	0.14362516	0.022938411896132518	0.4760797	0.4408333	0.39233097	0.019795446643881533	0.06840607	-0.081488825	-0.19165315	0.078171667	8055	8179	8345.5	8570	8950	16310.666666666666	12266.770833333334	10260.166666666666	1287.1106111210515	9189	9261	9587.5	9951	10886	75.5	-0.16566677	-0.19145921	-0.2290324	0.018333105969869562	2	0.4329319	0.25942576	-0.035959207	0.1395496640622372	0.07618548	-0.1458601	-0.29212016	0.11153755739644948	-0.16566677	-0.19145921	-0.2290324	0.018333105969869562	0.5051134	0.34289965	0.085428625	0.11919392750325164	-0.10779955	-0.32665148	-0.45083237	0.095507493	0	1	0	0	1	12332	16826	20146	22760.5	26712	0	8736	8793	9334.5	9671.5	9889	13578	13752	14345	14786.5	15450	10199	10458.5	11062	11734	12955	1.1594202898550066	-2.743275601	90	2241	7	{"type":"MultiPoint","coordinates":[]}
743_0	0.27879837	0.22512795	0.13859342	0.030568258400369874	0.48544264	0.44918454	0.4095015	0.021336477	0.044246472	-0.09318309	-0.15998651	0.066951586	8178	8293	8353	8593	8933	14114.666666666666	12468.561403508773	10444.5	742.9220760899909	9327	9547	9910	10160	10283	0	-0.086721554	-0.20219927	-0.25559586	0.035556668	2	0.39557245	0.2994136	0.114763916	0.091801068	0.001162756	-0.16461954	-0.2561195	0.083163111	-0.086721554	-0.20219927	-0.25559586	0.035556668	0.47823957	0.37389556	0.19253907	0.085724037	-0.23925427	-0.35476872	-0.43566006	0.058755547362570944	0	1	0	0	1	17205	18386	20893	23724	25818	0	8712	8957	9113	9847	10960	13502	14134	15006	15789	16985	10030	10652	10927	11754	13302	-0.956521739	2.9008743396083307	0	2182	6	{"type":"MultiPoint","coordinates":[]}
744_0	0.27309301	0.20859753	0.15971605	0.028253391	0.4870296	0.43230832	0.39122516	0.023286201	0.07306289	-0.023656266	-0.10207232	0.057896902	8313	8462	8643	8886	9195	13460.5	12565.549019607843	10820.666666666666	622.7781494353312	9736	9947	10131	10286	10832	13	-0.15612754	-0.21051963	-0.2609983	0.030150938530279878	2	0.32238656	0.19521062	0.06233392	0.08650734	0.03756127	-0.07979525	-0.18602951	0.074053816	-0.15612754	-0.21051963	-0.2609983	0.030150938530279878	0.43692523	0.28194645	0.15045042	0.085523398	-0.19875365	-0.28520653	-0.37964213	0.053830862	0	1	0	0	1	15389	16634	17903	19977	22195	0	9215	9542	10053	10698	11516	14014	14871	15745	16179	17288	10840	11503	12053	13210	14058	-0.202898551	-2.388906046	131	2119	10	{"type":"MultiPoint","coordinates":[]}
745_0	0.24381053	0.20619713	0.13549319	0.024193943249300083	0.46591493	0.4378076	0.3888463	0.018892990671229883	-0.003866202	-0.08017228	-0.16379131	0.044870838040558955	8130	8208	8406	8586	8632	13337.333333333334	12391.64814814815	11408.833333333334	447.9573801957365	9532	9743	9958.5	10263	10725	98.099976	-0.14297378	-0.18817042	-0.21220712	0.018625821	2	0.38058364	0.277871	0.16785881	0.058880221430889876	-0.06534134	-0.1571937	-0.25442153	0.050485061687603416	-0.14297378	-0.18817042	-0.21220712	0.018625821	0.44808257	0.35103273	0.23499946	0.060650042445596714	-0.2546557	-0.3352755	-0.40912473	0.040427510532787383	0	1	0	0	1	17470	19195	20040.5	21065	22662	0	8664	9125	9700.5	10048	10767	13511	14142	14698.5	15348	15769	10199	10749	11525.5	11968	12448	0.7681159420289987	-1.167098295	180	1879	1	{"type":"MultiPoint","coordinates":[]}
746_0	0.24390404	0.21413633	0.17351429	0.023396287	0.46176705	0.43383965	0.40721512	0.01183812	0.09938654	0.002564463	-0.12859488	0.074652621	8000	8333	8768.5	8942	9401	14587	12305.885416666668	11148.333333333334	907.7163074753704	9372	9535	9901.5	9998	10534	4.1000977	-0.14644809	-0.22112052	-0.3017789	0.048250639	2	0.34240377	0.13886808	-0.025898695	0.11863785538270764	0.08467219	-0.035327327	-0.22122915	0.10358000954548711	-0.14644809	-0.22112052	-0.3017789	0.048250639	0.38538727	0.24604462	0.11778393	0.089137408	-0.14092396	-0.25444308	-0.35971	0.063579544	0	1	0	0	1	13183	15900.5	16801.5	18131	19881	0	8763	9287	10217.5	10481.5	11566	12678	13995.5	15700	16934	19028	9905	11251	12922	13900	15417	1.130434782608745	-1.988200404	315	1860	3	{"type":"MultiPoint","coordinates":[]}
747_0	0.26686916	0.21565095	0.145141	0.026660887421558147	0.4824109	0.44069546	0.39423215	0.020371961516290532	0.007705729	-0.069691695	-0.16607338	0.05384306	8225	8435	8518	8667	8822	13784.833333333334	12743.324074074075	11957.333333333334	484.49941861951373	9718	9908	10136.5	10434	10807	39.5	-0.16403382	-0.20326337	-0.2332607	0.019504192098865683	2	0.39631525	0.2674025	0.15492773	0.074462399	-0.039724052	-0.14282556	-0.25303152	0.063260113	-0.16403382	-0.20326337	-0.2332607	0.019504192098865683	0.48108768	0.34627235	0.24392608	0.073039688	-0.25838926	-0.33587825	-0.4305918	0.052847814763816316	0	1	0	0	1	17590	18387	20527	22170	24131	0	8840	9282	10028	10505	10742	14111	14559	15382.5	16081	16651	10387	11436	11867	12318	13192	-0.246376812	0.2864641438100869	63	1880	2	{"type":"MultiPoint","coordinates":[]}
748_0	0.23846875	0.2029143	0.13709924	0.027010467	0.4493075	0.4285942	0.38742143	0.017085155564353742	0.0889446	-0.012732777	-0.19171791	0.094421241	7813	8098.5	8582.5	8842.5	8976	13732.333333333334	11999.562499999998	10654.666666666666	965.0691107142972	8827	9164	9556.5	10299	10609	3.9000244	-0.1473496	-0.20778643	-0.26607844	0.038343641	2	0.41381767	0.15502292	-0.0534674	0.15226623027093175	0.09918736	-0.0562144	-0.2902441	0.13013753352118057	-0.1473496	-0.20778643	-0.26607844	0.038343641	0.47004417	0.25295696	0.08176387	0.12740356728732793	-0.11350162	-0.25941488	-0.44192958	0.10481346394150376	0	1	0	0	1	11699	13034	17496.5	19343.5	21910	0	8297	8858	9947	10585	10971	12186	12930.5	14399	16929	17842	9456	10380	12759	13535.5	14098	-1.376811594	1.63463572	0	1880	0	{"type":"MultiPoint","coordinates":[]}
749_0	0.263786	0.21149486	0.1374666	0.030868670881791908	0.4765376	0.44193098	0.4022497	0.022458247993590193	0.06144906	-0.08036023	-0.16476023	0.069007354	7848	8186	8356.5	8506	8783	14667.166666666666	12165.35185185185	10281.666666666666	999.2916084871634	9154	9388	9713	9976	10700	50	-0.09103705	-0.18931037	-0.22080337	0.026961652641481336	2	0.40880606	0.26870483	-0.005390298	0.11789215101156053	0.061381362	-0.14791477	-0.25655544	0.095598352	-0.09103705	-0.18931037	-0.22080337	0.026961652641481336	0.47499645	0.34571016	0.112550244	0.10632593967969443	-0.14407752	-0.32692206	-0.42476097	0.082291534	0	1	0	0	1	12649	16825	19935.5	22913	25862	0	8723	8935	9197	9756	9993	13472	13644	14440.5	15105	15779	10134	10382	11163.5	11714	12590	-1.956521739	-1.594504058	349	2183	9	{"type":"MultiPoint","coordinates":[]}
